全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
042030,1,宮城県塩竈市,太刀,タチ,,Raikunimitsu Sword,重要文化財,美術工芸品,鹽竈神社博物館,042030,,宮城県塩竈市一森山1番1号,宮城県,塩竈市,一森山,1番1号,,38.318185 ,141.015150 ,,,022-367-1611,,,https://www.shiogamajinja.jp/,,985-0074,1,口,5370605000304 ,志波彦神社鹽竈神社,1909-09-21,月火水木金土日,8:30,17:00（4月1日～9月末日）、16:00（12月1日～1月末日）,年中無休,,,国指定重要文化財。 鎌倉末の作品、 長さ二尺七寸六分 （83.6㎝）。 身巾広く腰につよい踏張りがあり、 反りの高い長寸の太刀です。 仙台藩四代藩主の綱村公が初めて領国にはいった延宝３年 （1675年）、 領国安穏を祈って鹽竈神社に奉納したものです。 明治42年９月21日指定。作者・著者：来国光（らいくにみつ）。年代：鎌倉時代。サイズ：長890 × 反り34mm。収蔵場所：鹽竈神社博物館　塩竈市一森山1-1,"Dates from the late Kamakura period. It is 83.6cm in length, strongly curved and thick. Enpou 3 (1675), when the feudal domain of Sendai was first formed, its fourth lord, Tsunamura, dedicated the sword to the shrine in the name of peace.
Designated [a national treasure] on September 21, 42nd year of Meiji (1909).",,,https://shiomo.jp/archives/426,,有,無,無,無,無,無,無,https://www.shiogamajinja.jp/,,,
042030,2,宮城県塩竈市,太刀,タチ,,Unsho Sword,重要文化財,美術工芸品,鹽竈神社博物館,042030,,宮城県塩竈市一森山1番1号,宮城県,塩竈市,一森山,1番1号,,38.318185 ,141.015150 ,,,022-367-1611,,,https://www.shiogamajinja.jp/,,985-0074,1,口,5370605000304 ,志波彦神社鹽竈神社,1909-09-21,月火水木金土日,8:30,17:00（4月1日～9月末日）、16:00（12月1日～1月末日）,年中無休,,,国指定・重要文化財。鎌倉末の作品、 長さ三尺四分 （92.1㎝）。 反りの高い長寸の勇壮豪快な太刀です。 古来より鹽竈神社例祭御出幣式の威儀御太刀として伝わっています。 鹽竈神社右宮一禰宜春日新太夫の奉納といわれています。明治42年９月21日指定。作者・著者：雲生（うんしょう）。年代：鎌倉時代。サイズ：長921 × 反り35mm。収蔵場所：鹽竈神社博物館　塩竈市一森山1-1,"A national important cultural property　Dating from the end of the Kamakura period, 92.1cm in length, a splendid sword with a high degree of curvature. It has been handed down as a stated sword for the annual ceremony of Shiogama shrine since ancient times. It’s known for dedication by Shiogama shrine Ugu Ichinegi Kasuga Shindayu.Designated on September 21, 42nd year of Meiji (1909).",,,https://shiomo.jp/archives/428,,有,無,無,無,無,無,無,https://www.shiogamajinja.jp/,,,
042030,3,宮城県塩竈市,松島,マツシマ,,Special scenic site Matsushima,特別名勝,名勝地　,越ノ浦～浦戸諸島,042030,,宮城県塩竈市字越ノ浦～浦戸,宮城県,塩竈市,字越ノ浦～浦戸,,,,,,,022-362-2556,,kouryuu@city.shiogama.miyagi.jp,https://www.city.shiogama.miyagi.jp/soshiki/40/,,,,,,,1952-11-22,,,,,,,国指定文化財。特別名勝松島は塩竈市、 東松島市、七ヶ浜町、 松島町、 利府町を含む地域で、 総面積は97.18㎡、 海岸線の長さは約33㎞です。 この一大湖水の観を呈する海上に230余の大小の島々が浮び、 特に 「多聞山からの偉観」 「大高森からの壮観」 「富山からの麗観」 「扇谷からの幽観」 は四大観として知られ、 日本三景の一つとして四季それぞれに趣を変える景勝の地をなしています。 昭和27年11月22日指定。材質・形状：景観。収蔵場所：宮城県塩竈市　浦戸諸島。閲覧可,"The special scenic site of Matsushima includes Shiogama City, as well as the towns of Shichigahama, Matsushima, Rifu and Naruse. It covers a total area of 97.18 square kilometeres, and the length of its coastline is about 33 km. More than 230 large and small islands appear to float on the sea in this area. “Impressive view from Tamon mountain”, “Magnificent view from Otaka forest”, “Beautiful view from Toyama” and “Great view from Ougi valley” are known as The Four Grand Views and they are subject to tasteful changes according to the season. Matsushima is one of the three most scenic spots in Japan.
Designated on November 22, 27th year of Showa (1952).",,,https://shiomo.jp/archives/2807,,,,,,,,,,,,
042030,4,宮城県塩竈市,鹽竈神社の鹽竈ザクラ,シオガマジンジャノシオガマザクラ,,Shiogama cherry blossoms in Shiogama shrine,天然記念物,植物,鹽竈神社境内,042030,,宮城県塩竈市一森山1番1号,宮城県,塩竈市,一森山,1番1号,,38.318473 ,141.012913 ,,,022-367-1611,,,https://www.shiogamajinja.jp/,,985-0074,,,5370605000304 ,志波彦神社鹽竈神社,1987-12-17,月火水木金土日,5:00,20:00,年中無休,,,国指定・天然記念物。サトザクラ系の八重桜で、 例年５月上旬に満開となります。花は淡紅色の大輪で極く短い花軸に密に群生します。「鹽竈」 なる桜は、 堀河天皇の御製（ぎょせい）にその名が見えることから平安時代には成立していたと考えられています。 また、 江戸時代には井原西鶴の小説や近松門左衛門（ちかまつもんざえもん）の戯曲にも登場するほど知名度の高いものでありました。 古来著名な品種として昭和15年に天然記念物に指定されましたが、単木の高齢木であったためその後枯死し、 昭和34年に一時指定解除されました。しかし、鹽竈神社では、この桜の苗木育成に努め、境内に植栽して保存してきました。数多くの桜のうち、古くから広く知られており、学術・文化両面で高く評価されています。 （昭和62年12月17日指定）。収蔵場所：宮城県塩竈市一森山1-1 鹽竈神社。閲覧可,"The Yae cherry blossom, in the family line of the Sato cherry blossom, blooms in early May each year. The big, rose-pink flowers grow gregariously and very close together, and its stalks are quite short. Emperor Horikawa used the name “Shiogama” cherry blossom in his poetry, written in the Heian period. You can find the name in the novels of Saikaku Ihara or Gikyoku by Monzaemon Chikamatsu from the Edo period. It was very famous. The cherry blossoms of Shiogama shrine were designated as a natural monument in the15th year of Showa and recognized as a famous breed from ancient times, but they withered and died. In Showa 34, its status as national monument was temporary revoked. However, Shiogama shrine worked to nurture and develop the saplings of this cherry tree which were planted on the grounds of the shrine, and it has since reclaimed its status as a natural monument. Today it remains one of the ancient types of cherry blossom, and has immense cultural and scientific value.
Designated on December 17, 62nd year of Show (1987).",,,https://shiomo.jp/archives/410,,有,無,無,無,無,無,無,https://www.shiogamajinja.jp/,,,
042030,5,宮城県塩竈市,鹽竈神社,シオガマジンジャ,,Shiogama shrine,重要文化財,建造物　,鹽竈神社,042030,,宮城県塩竈市一森山1番1号,宮城県,塩竈市,一森山,1番1号,,38.318904 ,141.012659 ,,,022-367-1611,,,https://www.shiogamajinja.jp/,,985-0074,15,棟,5370605000304 ,志波彦神社鹽竈神社,2002-12-26,月火水木金土日,5:00,20:00,年中無休,,,"国指定重要文化財（有形文化財　建造物）平成14年12月26日指定。日本遺産「政宗が育んだ“伊達”な文化」平成28年4月25日認定。都人は景勝の地である塩竈にあこがれを抱き、和歌に塩竈への思いを詠んでいます。鹽竈神社は、千賀の浦をのぞむ一森山に位置し、東北地方全体の守り神として、朝廷から厚い崇敬を受けたばかりでなく、平泉の藤原氏、仙台藩主伊達氏が信仰してきた歴史ある神社です。

藩祖政宗以降歴代の仙台藩主が神社の「大神主」として祭事を司りました。現在の社殿は四代綱村が元禄８年(1695年)に造替に着工し、五代吉村の宝永元年(1704年)に完成しました。 “しおがまさま”の神威は今も光輝き、多くの参拝者を迎え地域や人々を守り導いています。","Called ‘Mutsunokuni Ichinomiya’ in ancient times, its founding year is unknown; however it existed as one of the most eminent shrines in the early 9th century, and received donations from the imperial court for rituals. It is believed that the origin of the name and the foundation is related to the reason that the place was Mutsu Kokufu,・Kokufutsu of Tagajyou, and the center of salt making. Tsunamura Date initiated construction in Genroku 8 (1695), and the current main building was completed in Houei 1 (1704) when HSH Yoshimura was the 5th lord of Sendai domain.
“The Sanbondou Nihaiden is a shrine construction unique in Japan. The building arrangement was also systematic and well-planed. ‘Honden Hei-Den-Kai-Ro’ indicates an orthodox style with limited decoration. The antique detail of the front of the shrine and the brilliant patterns of the gates are said to create an exquisite euphony.” It is an example of the high standards of shrine construction adhered to in the middle of the Edo period. The shrine was designated as a national important cultural property.
Designated on December 26, 14th year of Heisei (2002).",古代・中世の塩竈　　塩竈は、古代より和歌に詠まれ、その景観の素晴らしさが都でも評判になり歌枕の地として有名です。塩竈の一森山に鎮座する鹽竈神社は平安時代初めまでに成立していたと考えられ、国府多賀城を支える重要な神社として朝廷も位置づけていました。その後、平安時代後期には奥州一宮として国府の政治を守護する存在となりました。このころの鹽竈神社の参道は、鳥居原（現在の塩釜高校周辺）から江尻を下って、七曲坂を上るのみでありました。江尻から七曲坂へ渡るところは、塩釜湾（千賀の浦）の海が入り込んでおり、橋がなく船で渡ったと思われます。平泉の奥州藤原氏も鹽竈神社を深く敬いました。藤原清衡の孫である忠衡は鉄燈を寄進し、「文治の鉄燈」と呼ばれています。　社殿の変遷　　慶長の造営　　仙台藩祖伊達政宗により、慶長12年(1607年)、新しい鹽竈神社社殿が完成しました。その時の棟札写（鹽竈神社蔵）には、同年6月20日に「御遷宮」が行われ、「大檀那」として伊達「政宗」の名が記されています。当時の建物のようすは明らかではありませんが、屏風絵などから総合すると、随身門の代わりに長床があり、拝殿はなく、本殿が二棟並んでそれを廊下で結んでいるものであったと考えられます。奥州一宮として平安時代から続く鹽竈神社は、政宗にとって特に重要な神社であったことは間違いありません。　寛文の造営　　四代藩主伊達綱村の時代には、社殿の造営と奉納行為、そして縁起の作成が行われます。新しい社殿は寛文3年(1663年)4月6日に完成します。そのようすは、塩竈大明神絵図（『御修復帳』、宮城県図書館蔵）や陸奥国松島之勝景（東北歴史博物館蔵）などによって詳細がわかります。特徴は、本殿は一棟で廊下によって拝殿とつながり、拝殿の東側には貴船・只洲の二社が建つ配置でした。　元禄の造営　　延宝3年(1675年)9月に初入国を果たした綱村（当時は綱基）は、同年11月に名刀の太刀 銘 来国光を鹽竈神社に奉納しました。その祝詞には、先祖から受け継いだ領地の安泰などが願われています。これにならい、以後の歴代藩主も治世の節目に鹽竈神社へ太刀を奉納することが慣例となりました。また、家臣・学者に命じて鹽竈神社に関する調査を行わせ、元禄6年(1693年)に『鹽竈神社縁起』を作成させます。この中では、それまで諸説が混乱していた御祭神を左宮・武甕槌神、右宮・経津主神、別宮・鹽土老翁神と確定させました。これに伴って、元禄8年には社殿の大改築が行われることとなり、宝永元年(1704年)竣工の現在の社殿が造られました。その社殿は、長床に代わって随身門が置かれ、さらに内側の門の両側には廻廊が配されました。正面に左右宮の本殿と拝殿、右側には西向きに別宮本殿と拝殿が置かれています。　その後の造営　　その後は、約20年ごとに屋根の葺き替えなどの修復（式年遷宮）が行われ、当時の姿を今に伝えています。明治に入り、明治15年（1882年）、明治35年（1902年）に遷宮を行い、大正11年（1922年）に屋根葺替を行いました。さらに昭和17年（1942年）に国費で修築が行われました。　塩竈の町　　綱村は、鹽竈神社だけでなく、それを支える塩竈の町の振興にも努めました。それは、貞享2年(1685年)に塩竈村へ出された法令、いわゆる貞享特例に如実に示されています。その中では、年貢の減免や年250両に及ぶ金子の下賜、芝居興業の許可、塩竈港への商人荷物船などの強制的着岸などが定められており、異例の保護政策であったことがわかります。これによって、塩竈は港湾施設も充実し、商業・産業も復興しました。鹽竈神社を支える塩竈の町の復興が鹽竈神社の繁栄に不可欠であると考えた結果であると思われます。＜補足説明＞１　歌枕の地　和歌に多く詠み込まれる名所・旧跡です。「みちのくは　いづくにあれど　塩釜の　浦こぐ舟の　綱手かなしも」（『古今集　東歌』）　２　国府多賀城(こくふたがじょう)　多賀城市に神亀元年（じんきがんねん）（724年）に大野東人（おおの あずまひと）によって創建された多賀城は、陸奥国府であるとともに、北方の蝦夷に対する前線基地でもありました。　３　太刀銘来国光（たちめいらいくにみつ）　鎌倉時代に作刀された重要文化財の太刀であり、領国安寧を祈願して四代藩主伊達綱村が鹽竈神社へ奉納しました。　４　太刀を奉納　藩主による鹽竈神社への太刀奉納は慣例で、治世の節目に行われました。いずれも華麗な糸巻太刀拵で、作刀は藩お抱えの刀工が行いました。太刀の奉納記録は39振あり、このうち35振が現存し、宮城県の有形文化財に指定され、鹽竈神社博物館において保存・公開されています。　５　元禄8年には社殿の大改築　左宮・右宮・別宮の三社殿が整然と配置されています。本殿・廻廊の雄大で抑制の利いた意匠には綱村の復古思想、拝殿・門の古風で華やかな意匠には江戸中期特有の堅実な創意が現れており、この二つの対比が見事な諧調を創出した近世社寺建築の秀作であります。　６　貞享特令（じょうきょうのとくれい）　鹽竈神社を深く信仰していた四代藩主伊達綱村は、その門前町塩竈の人々が苦しんでいることを見かねて年貢を軽くするなどの特別の命令を出しました。これにより、塩竈への荷揚げが増えて商業が栄え、参拝者や観光客などが集まる町となっていきました。,,https://shiomo.jp/shiogama-shrine,,有,無,無,無,無,無,無,https://www.shiogamajinja.jp/,,,
042030,6,宮城県塩竈市,おくのほそ道風景地 籬が島,オクノホソミチフウケイチ マガキガシマ,,Magaki island,名勝,名勝地　,籬が島,042030,,宮城県塩竈市新浜町1丁目2番地先,宮城県,塩竈市,新浜町,1丁目2番地先,,38.323148 ,141.036454 ,,,022-367-1611,,,https://www.shiogamajinja.jp/,,,1,島,,,2014-10-06,,,,,,,曲木島は籬島とも称し、 往昔鹽竈神社築造の際 「曲木を巧みに用いた」 籬島明神を祀る古祠が島名の由来。 この島は古来名島として歌枕に使われ古今集、 続後撰集などにはこの島を読み込んだ歌が数多く見られます。「わがせこをみやこにやりて塩竈のまがきの島のまつぞ恋しき （古今和歌集　東歌）」。昭和41年９月20日指定。材質・形状：塩竈市指定・名勝地。収蔵場所：宮城県塩竈市新浜町1丁目,,,,https://shiomo.jp/archives/2909,,,,,,,,,,,,
042030,7,宮城県塩竈市,丹六園店舗兼主屋,タンロクエンテンポケンオモヤ,,,登録有形文化財,建造物　,丹六園,042030,,宮城県塩竈市宮町3番12号,宮城県,塩竈市,宮町,3番12号,,38.317723 ,141.019294 ,,,,,,,,,1,棟,,,2014-04-25,,,,,,,江戸時代の廻船問屋だった建物を大正3年に組み立てた建物。平成5年に塩竈市文化景観賞を受賞。　年代：1915年。　材質・形状：木造。　場所：宮城県塩竈市宮町3-12,,,,https://shiomo.jp/archives/2913,,,,,,,,,,,,
042030,8,宮城県塩竈市,鹽竈神社のタラヨウ,シオガマジンジャノタラヨウ,,Tarayou tree in Shiogama shrine,県指定 天然記念物,植物,鹽竈神社境内,042030,,宮城県塩竈市一森山1番1号,宮城県,塩竈市,一森山,1番1号,,38.318921 ,141.012489 ,,,022-367-1611,,,https://www.shiogamajinja.jp/,,985-0074,1,本,5370605000304 ,志波彦神社鹽竈神社,1970-10-30,月火水木金土日,5:00,20:00,年中無休,,,宮城県指定・天然記念物。タラヨウは、 モチノキ科に属す雌雄異株の常緑高木です。主に本州 （近畿・中国）・四国・九州の山地に分布し、 本県は太平洋側の北限地帯となっています。鹽竈神社のタラヨウは樹齢600～700年と推定され、北限地帯にみられる老大木として貴重なものです。 （昭和45年10月30日指定）。収蔵場所：一森山　鹽竈神社。閲覧可,"Tarayou is a tall, dioecious evergreen tree belonging to the Mochinoki family. It is mainly found in Honshu (Kinki and Chugoku regions) and Miyagi prefecture in the northernmost region, near the Pacific Ocean. The Tarayou tree in Shiogama shrine is estimated to be 600-700 years old.
Designated on October 30, 45th year of Showa (1970).

LOCATION",,,https://shiomo.jp/archives/412,,有,無,無,無,無,無,無,https://www.shiogamajinja.jp/,,,
042030,9,宮城県塩竈市,伊達家歴代藩主奉納糸巻太刀,ダテケレキダイハンシュホウノウイトマキタチ,,,県指定 有形文化財,美術工芸品,鹽竈神社博物館,042030,,宮城県塩竈市一森山1番1号,宮城県,塩竈市,一森山,1番1号,,38.318185 ,141.015150 ,,,022-367-1611,,,https://www.shiogamajinja.jp/,,985-0074,35,振,5370605000304 ,志波彦神社鹽竈神社,1979-06-26,月火水木金土日,8:30,17:00（4月1日～9月末日）、16:00（12月1日～1月末日）,年中無休,,,江戸時代、歴代の仙台藩主により鹽竈神社へ奉納された仙台藩お抱え刀工が制作した35振の太刀です。これらは宮城県の有形文化財に指定されており、鹽竈神社博物館が所蔵・公開しています。,,仙台藩の歴代藩主は、藩主の交代など大きな節目に鹽竈神社に太刀を奉納しました。鹽竈神社には３つの本殿があり（別宮・左宮・右宮）、それぞれに神様がまつられているため、藩主は一度に３振の太刀を納めました。元禄16年（1703）から天保13年（1842）までに13回、計39振の太刀が奉納された記録があり、このうち35振が現在も残っています。刀身は、仙台藩のお抱え刀工（刀を作る職人、刀鍛冶）により製作されたものです。たいへん大きな藩だった仙台藩には、江戸時代を通じて200人以上)の刀工がいたと考えられています。この中から、特にすぐれた技術を持った人々が藩に召抱えられ、代々「お抱え刀工」として活躍しました。同じく仙台藩のお抱えの職人により製作された華な外装（拵え）も、刀身とともに奉納されています。これらの太刀は、歴代藩主の願いや、各時代の職人の足跡を今に伝えています。,,https://shiomo.jp/kodomo/edo/edo-episode09,,有,無,無,無,無,無,無,https://www.shiogamajinja.jp/,,,
042030,10,宮城県塩竈市,鹽竈神社藻塩焼神事,シオガマジンジャモシオヤキシンジ,,Moshio yaki shinji,県指定 無形民俗文化財,無形の民俗文化財,御釜神社,042030,,宮城県塩竈市本町6番１号,宮城県,塩竈市,本町,6番1号,,38.316133 ,141.018000 ,,,022-367-1611,,,https://www.shiogamajinja.jp/,,,,,,,1979-08-17,,,,,,,我が国の古代製塩法を伝える特殊神事で、 ７月４日の海藻を刈りとる藻刈神事です。 ５日は満潮時の海水を汲みとり、 神釜四口に注ぐ水替神事、 ６日は平釜にたくわえた潮水を煮つめて荒塩を採集する藻塩焼神事が行われます。 内容に変遷のあったことも考えられますが、 古式にのっとり原初的姿を伝える一連の塩つくりであり、 民俗学的、 歴史的にも価値の高い神事です。昭和54年８月17日指定。　材質・形状：宮城県指定・無形民俗文化財。　収蔵場所：宮城県塩竈市本町7-1　御釜神社,"This is the site of a series of special Shinto rituals to honor and pass on the tradition of ancient salt making. It begins with cutting and harvesting seaweed on July 4th (Moshio yaki shinji), drawing water at high tide, and pouring them into Kamigama yotsunokuchi (Mizukae Shinji) on the 5th. Then, coarse salt is collected from the boiled water in a flat pot on the 6th.　While some details may have changed over the years, the essence of the ritual and its ancient rites is both culturally and historically valuable.　Designated on August 17th, 54th year of Showa (1979).",,,https://shiomo.jp/archives/2944,,無,無,無,無,無,無,無,https://www.shiogamajinja.jp/,,,
